46 972
23 1 64
11 2 91
27 3 26
21 4 5
1 5 32
29 6 21
24 7 32
19 8 72
28 9 31
31 10 26
38 11 24
27 12 35
19 13 45
21 14 77
38 15 61
26 16 61
33 17 73
35 18 71
32 19 5
31 20 85
29 21 83
30 22 91
27 23 47
13 24 11
10 25 67
9 26 52
33 27 8
23 28 12
27 29 42
34 30 96
23 31 9
27 32 55
31 34 38
46 35 16
43 36 93
38 37 89
33 38 64
46 39 73
33 40 49
21 41 91
35 42 63
31 43 49
3 44 64
4 45 54
23 46 69
9 21 56
6 43 68
23 33 35
6 45 49
43 10 8
9 33 47
43 15 4
23 17 40
9 36 61
44 30 47
38 12 43
22 36 68
29 24 48
46 8 95
9 15 14
3 25 42
45 17 81
4 28 45
42 27 25
34 6 88
41 4 99
10 37 94
37 35 49
5 32 63
24 35 79
21 46 5
16 17 61
18 21 22
36 30 31
42 2 78
11 31 27
2 31 92
18 14 90
13 10 85
18 30 74
40 30 19
25 27 66
7 44 9
35 7 15
10 24 92
40 27 75
45 2 87
2 27 53
23 37 93
20 32 1
16 23 40
2 44 17
42 31 1
12 26 61
32 39 51
36 19 43
20 1 38
31 1 2
25 7 40
23 19 25
35 11 59
1 10 93
39 13 91
14 6 57
9 35 9
46 43 8
24 23 26
46 6 16
14 19 63
10 30 77
26 34 21
39 37 2
3 46 11
36 41 24
19 11 80
6 2 44
13 4 15
26 25 47
36 38 29
9 6 72
30 4 52
23 6 72
10 34 40
10 6 14
30 46 56
10 7 98
25 30 20
10 27 39
18 22 89
14 11 19
15 7 49
23 15 39
15 45 26
35 10 73
15 37 85
14 2 80
43 8 45
3 10 38
46 45 36
29 15 91
28 33 14
27 22 22
34 3 44
42 19 2
1 43 50
28 13 9
3 20 22
11 33 3
29 25 66
29 7 26
35 2 86
28 42 83
39 23 83
24 38 46
22 10 38
20 15 89
37 4 87
40 12 24
42 9 11
12 11 5
40 21 38
39 43 18
5 40 95
41 29 7
15 33 22
26 40 26
27 6 22
27 46 32
16 21 4
26 31 51
7 2 74
17 15 24
42 7 64
18 36 45
18 33 66
17 4 2
44 42 76
11 39 32
1 17 27
2 37 85
34 35 35
24 6 60
18 46 86
2 24 31
19 26 29
32 18 48
31 41 36
24 41 63
21 36 71
34 16 29
13 16 3
30 7 11
13 33 58
15 3 47
1 30 2
6 33 27
5 41 26
21 30 67
31 25 97
32 26 41
18 42 23
6 7 83
16 38 61
12 21 89
18 41 43
8 21 57
26 21 76
16 7 17
32 10 98
8 30 38
3 18 26
27 43 43
41 10 56
26 20 35
16 31 81
8 24 90
27 17 72
26 24 7
42 24 40
19 44 33
41 37 80
15 10 26
31 35 46
18 1 58
18 15 80
1 35 86
26 15 22
20 8 22
38 10 100
38 44 38
40 6 66
22 34 21
26 23 93
46 1 88
34 12 56
8 1 79
23 43 62
45 27 21
41 12 31
32 31 98
30 41 79
30 31 53
37 1 85
32 40 41
30 12 70
21 25 87
19 9 22
31 3 41
34 21 99
39 4 100
42 45 46
30 9 53
38 17 41
45 33 45
15 14 14
16 22 31
31 28 75
16 43 95
32 6 79
12 5 89
13 12 2
16 20 6
14 36 25
34 25 57
